date,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,mean_anomaly,max_anomaly,centroid_lat,centroid_lon,month,year,day_of_year,saison
1987-09-17,224,40.0,45.42879,102.44486,10.298192,4.5798025,10.012664,13.666295,-13.098214,9,1987,260,Saison_des_pluies
1987-07-20,224,40.0,21.29913,40.798824,9.59749,3.1391628,5.719284,15.098214,-13.236608,7,1987,201,Saison_des_pluies
2017-07-29,224,40.0,26.779097,57.01066,11.53017,2.7121806,5.3680644,14.53125,-14.407366,7,2017,210,Saison_des_pluies
2010-08-18,223,39.82142857142857,32.700188,77.8258,15.174908,3.3984118,6.9298725,14.989349,-13.188901,8,2010,230,Saison_des_pluies
1997-05-10,220,39.285714285714285,8.5522375,57.477097,0.0056468123,7.664789,21.096458,13.801136,-13.225,5,1997,130,Saison_des_pluies
2011-06-01,220,39.285714285714285,6.1455398,16.449638,0.21597932,4.444371,13.915178,14.522727,-14.685227,6,2011,152,Saison_des_pluies
2017-06-27,220,39.285714285714285,19.460459,43.823135,3.9690351,5.5564466,9.347012,15.392045,-14.564773,6,2017,178,Saison_des_pluies
2020-07-30,219,39.107142857142854,32.533974,68.71237,10.409598,3.7669828,7.9946923,14.854452,-14.549658,7,2020,212,Saison_des_pluies
2022-06-09,218,38.92857142857143,8.542667,19.32464,0.30016872,5.2509584,13.902822,15.08945,-14.641055,6,2022,160,Saison_des_pluies
2014-06-02,218,38.92857142857143,16.321873,36.11966,2.0054896,5.0741844,13.062351,13.4942665,-14.071101,6,2014,153,Saison_des_pluies
1996-06-15,218,38.92857142857143,6.48332,24.903542,0.58569616,3.754777,8.4779005,15.604358,-14.184633,6,1996,167,Saison_des_pluies
1996-07-18,216,38.57142857142858,19.860996,35.75001,6.880061,3.0147197,4.956423,15.296296,-13.59838,7,1996,200,Saison_des_pluies
1994-10-24,215,38.392857142857146,7.5619674,31.076353,0.99220985,3.5985363,6.4631114,14.5180235,-14.547093,10,1994,297,Saison_des_pluies
1999-08-25,214,38.21428571428571,29.49289,61.694897,13.506453,2.942149,6.1909103,15.057243,-12.897196,8,1999,237,Saison_des_pluies
2007-08-02,213,38.035714285714285,34.910248,62.262028,13.567757,5.2066774,10.600347,15.587441,-14.339788,8,2007,214,Saison_des_pluies
2010-07-13,213,38.035714285714285,25.697222,48.96038,6.18821,4.983805,8.935208,15.5803995,-13.671948,7,2010,194,Saison_des_pluies
2002-08-13,213,38.035714285714285,26.962233,56.724167,10.636043,3.0373552,5.5376434,15.156691,-13.385564,8,2002,225,Saison_des_pluies
1994-08-12,212,37.857142857142854,26.817434,56.21211,12.603668,3.3944328,5.5077424,15.5271225,-13.87382,8,1994,224,Saison_des_pluies
